Process_Name,P_id,Process_Username
NvBackend.exe,8052,DESKTOP-JV65JC9\SPD
svchost.exe,8188,Access Denied
svchost.exe,8208,Access Denied
chrome.exe,8264,DESKTOP-JV65JC9\SPD
OfficeClickToRun.exe,8408,Access Denied
Code.exe,8440,DESKTOP-JV65JC9\SPD
chrome.exe,8452,DESKTOP-JV65JC9\SPD
chrome.exe,8468,DESKTOP-JV65JC9\SPD
AsusTPLoader.exe,8540,DESKTOP-JV65JC9\SPD
armsvc.exe,8568,Access Denied
RuntimeBroker.exe,8796,DESKTOP-JV65JC9\SPD
chrome.exe,8852,DESKTOP-JV65JC9\SPD
cmd.exe,8872,Access Denied
chrome.exe,8936,DESKTOP-JV65JC9\SPD
dllhost.exe,9012,DESKTOP-JV65JC9\SPD
chrome.exe,9044,DESKTOP-JV65JC9\SPD
SkypeApp.exe,9088,DESKTOP-JV65JC9\SPD
igfxHK.exe,9176,DESKTOP-JV65JC9\SPD
AppVShNotify.exe,9668,Access Denied
RuntimeBroker.exe,9704,DESKTOP-JV65JC9\SPD
SearchProtocolHost.exe,9768,Access Denied
igfxTray.exe,9864,DESKTOP-JV65JC9\SPD
svchost.exe,9868,Access Denied
GoogleCrashHandler64.exe,10120,Access Denied
ShellExperienceHost.exe,10188,DESKTOP-JV65JC9\SPD
chrome.exe,10276,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,10324,DESKTOP-JV65JC9\SPD
esif_assist_64.exe,10352,DESKTOP-JV65JC9\SPD
svchost.exe,10456,Access Denied
svchost.exe,10476,DESKTOP-JV65JC9\SPD
svchost.exe,10584,Access Denied
chrome.exe,10644,DESKTOP-JV65JC9\SPD
SecurityHealthSystray.exe,10668,DESKTOP-JV65JC9\SPD
chrome.exe,10744,DESKTOP-JV65JC9\SPD
chrome.exe,10812,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,10856,DESKTOP-JV65JC9\SPD
ATKOSD2.exe,10884,DESKTOP-JV65JC9\SPD
GoogleCrashHandler.exe,11100,Access Denied
conhost.exe,11192,DESKTOP-JV65JC9\SPD
chrome.exe,11528,DESKTOP-JV65JC9\SPD
chrome.exe,11580,DESKTOP-JV65JC9\SPD
svchost.exe,11728,Access Denied
Microsoft.Python.LanguageServer.exe,11732,DESKTOP-JV65JC9\SPD
HControl.exe,11748,Access Denied
DMedia.exe,12088,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,12232,DESKTOP-JV65JC9\SPD
python.exe,12268,DESKTOP-JV65JC9\SPD
chrome.exe,12460,DESKTOP-JV65JC9\SPD
chrome.exe,12524,DESKTOP-JV65JC9\SPD
Video.UI.exe,12608,DESKTOP-JV65JC9\SPD
SystemSettingsBroker.exe,12732,DESKTOP-JV65JC9\SPD
AsusTPHelper.exe,12932,DESKTOP-JV65JC9\SPD
chrome.exe,12984,DESKTOP-JV65JC9\SPD
explorer.exe,13096,DESKTOP-JV65JC9\SPD
chrome.exe,13156,DESKTOP-JV65JC9\SPD
chrome.exe,13220,DESKTOP-JV65JC9\SPD
chrome.exe,13272,DESKTOP-JV65JC9\SPD
Code.exe,13408,DESKTOP-JV65JC9\SPD
csrss.exe,13444,Access Denied
nvvsvc.exe,13548,Access Denied
svchost.exe,13672,DESKTOP-JV65JC9\SPD
notepad.exe,13792,DESKTOP-JV65JC9\SPD
WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe,13868,DESKTOP-JV65JC9\SPD
MsMpEng.exe,13980,Access Denied
taskhostw.exe,14076,DESKTOP-JV65JC9\SPD
chrome.exe,14156,DESKTOP-JV65JC9\SPD
SebWindowsServiceWCF.exe,14256,Access Denied
Code.exe,14276,DESKTOP-JV65JC9\SPD
conhost.exe,14288,DESKTOP-JV65JC9\SPD
jusched.exe,14344,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,14396,DESKTOP-JV65JC9\SPD
SkypeBackgroundHost.exe,14444,DESKTOP-JV65JC9\SPD
chrome.exe,14468,DESKTOP-JV65JC9\SPD
chrome.exe,14596,DESKTOP-JV65JC9\SPD
ctfmon.exe,14648,DESKTOP-JV65JC9\SPD
SystemSettings.exe,14684,DESKTOP-JV65JC9\SPD
CodeHelper.exe,14916,DESKTOP-JV65JC9\SPD
svchost.exe,15092,Access Denied
chrome.exe,15120,DESKTOP-JV65JC9\SPD
fontdrvhost.exe,15292,Access Denied
chrome.exe,15860,DESKTOP-JV65JC9\SPD
smartscreen.exe,16312,DESKTOP-JV65JC9\SPD
chrome.exe,16376,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,16660,DESKTOP-JV65JC9\SPD
SearchIndexer.exe,16832,Access Denied
chrome.exe,16928,DESKTOP-JV65JC9\SPD
Code.exe,16948,DESKTOP-JV65JC9\SPD
chrome.exe,17124,DESKTOP-JV65JC9\SPD
svchost.exe,17512,Access Denied
java.exe,17516,Access Denied
notepad.exe,17636,DESKTOP-JV65JC9\SPD
chrome.exe,18136,DESKTOP-JV65JC9\SPD
SearchFilterHost.exe,18160,Access Denied
