Process_Name,P_id,Process_Username
SearchUI.exe,7208,DESKTOP-JV65JC9\SPD
WmiPrvSE.exe,7244,Access Denied
RuntimeBroker.exe,7348,DESKTOP-JV65JC9\SPD
chrome.exe,7396,DESKTOP-JV65JC9\SPD
opera.exe,7440,DESKTOP-JV65JC9\SPD
GoogleCrashHandler64.exe,7492,Access Denied
svchost.exe,7520,Access Denied
opera.exe,7600,DESKTOP-JV65JC9\SPD
SearchIndexer.exe,7804,Access Denied
opera.exe,7892,DESKTOP-JV65JC9\SPD
MicrosoftPdfReader.exe,7912,DESKTOP-JV65JC9\SPD
opera.exe,7916,DESKTOP-JV65JC9\SPD
smartscreen.exe,8168,DESKTOP-JV65JC9\SPD
MySQLNotifier.exe,8240,DESKTOP-JV65JC9\SPD
opera.exe,8280,DESKTOP-JV65JC9\SPD
AsusTPLoader.exe,8300,DESKTOP-JV65JC9\SPD
opera.exe,8572,DESKTOP-JV65JC9\SPD
SearchFilterHost.exe,8688,Access Denied
RuntimeBroker.exe,8816,DESKTOP-JV65JC9\SPD
chrome.exe,8864,DESKTOP-JV65JC9\SPD
QQExternal.exe,9068,Access Denied
chrome.exe,9128,DESKTOP-JV65JC9\SPD
MicrosoftEdgeCP.exe,9272,DESKTOP-JV65JC9\SPD
opera_crashreporter.exe,9576,DESKTOP-JV65JC9\SPD
MicrosoftEdgeCP.exe,9648,DESKTOP-JV65JC9\SPD
svchost.exe,9768,Access Denied
chrome.exe,9796,DESKTOP-JV65JC9\SPD
Windows.WARP.JITService.exe,9820,Access Denied
SkypeApp.exe,9892,DESKTOP-JV65JC9\SPD
AsusTPCenter.exe,10000,DESKTOP-JV65JC9\SPD
MicrosoftEdgeSH.exe,10008,DESKTOP-JV65JC9\SPD
opera.exe,10036,DESKTOP-JV65JC9\SPD
opera.exe,10040,DESKTOP-JV65JC9\SPD
svchost.exe,10084,Access Denied
RuntimeBroker.exe,10268,DESKTOP-JV65JC9\SPD
MicrosoftEdge.exe,10560,DESKTOP-JV65JC9\SPD
MicrosoftEdgeCP.exe,10664,DESKTOP-JV65JC9\SPD
opera.exe,10692,DESKTOP-JV65JC9\SPD
ApplicationFrameHost.exe,10704,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,10740,DESKTOP-JV65JC9\SPD
svchost.exe,10752,Access Denied
svchost.exe,10824,Access Denied
RuntimeBroker.exe,11020,DESKTOP-JV65JC9\SPD
opera.exe,11076,DESKTOP-JV65JC9\SPD
dllhost.exe,11240,DESKTOP-JV65JC9\SPD
chrome.exe,11252,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,11260,DESKTOP-JV65JC9\SPD
svchost.exe,11464,Access Denied
chrome.exe,11552,DESKTOP-JV65JC9\SPD
chrome.exe,11580,DESKTOP-JV65JC9\SPD
cmd.exe,11812,DESKTOP-JV65JC9\SPD
chrome.exe,11824,DESKTOP-JV65JC9\SPD
chrome.exe,12004,DESKTOP-JV65JC9\SPD
Microsoft.Photos.exe,12108,DESKTOP-JV65JC9\SPD
chrome.exe,12148,DESKTOP-JV65JC9\SPD
opera.exe,12852,DESKTOP-JV65JC9\SPD
chrome.exe,13004,DESKTOP-JV65JC9\SPD
chrome.exe,13192,DESKTOP-JV65JC9\SPD
notepad++.exe,13276,DESKTOP-JV65JC9\SPD
RuntimeBroker.exe,13512,DESKTOP-JV65JC9\SPD
svchost.exe,13672,Access Denied
RuntimeBroker.exe,13716,DESKTOP-JV65JC9\SPD
python.exe,13904,DESKTOP-JV65JC9\SPD
chrome.exe,13936,DESKTOP-JV65JC9\SPD
chrome.exe,14060,DESKTOP-JV65JC9\SPD
chrome.exe,14128,DESKTOP-JV65JC9\SPD
chrome.exe,14316,DESKTOP-JV65JC9\SPD
opera.exe,14492,DESKTOP-JV65JC9\SPD
chrome.exe,14528,DESKTOP-JV65JC9\SPD
chrome.exe,14604,DESKTOP-JV65JC9\SPD
chrome.exe,14612,DESKTOP-JV65JC9\SPD
SystemSettings.exe,14620,DESKTOP-JV65JC9\SPD
chrome.exe,14848,DESKTOP-JV65JC9\SPD
chrome.exe,15072,DESKTOP-JV65JC9\SPD
chrome.exe,15156,DESKTOP-JV65JC9\SPD
SearchProtocolHost.exe,15192,Access Denied
sppsvc.exe,15260,Access Denied
opera.exe,15336,DESKTOP-JV65JC9\SPD
